BUGS,DAFFY,PORKY,SYLVESTER,TWEETY,WILEE,ROADRNNR,ELMER,YOSEMITE,MARVIN,GOSSAMER,TAZ,PEPE,FOGHORN,SPEEDY
"""Rhapsody Rabbit""","""Daffy Duck Slept Here""","""Riff Raffy Daffy""","""Stooge for a Mouse""","""A Street Cat Named Sylvester""","""Lickety-Splat""","""Lickety-Splat""","""Rabbit Fire""","""A Star Is Bored""",,,,,"""Feather Bluster""",
"""A Hare Grows in Manhattan""","""The Up-Standing Sitter""","""Scaredy Cat""","""Pop 'Im Pop!""","""Catty Cornered""","""Beep Prepared""","""Beep Prepared""","""Rabbit Seasoning""","""Piker's Peak""",,,,,"""Weasel While You Work""",
"""Rabbit Transit""","""You Were Never Duckier""","""Awful Orphan""","""Canned Feud""","""Dog Pounded""","""Zoom at the Top""","""Zoom at the Top""","""Upswept Hare""","""Dog Tales"" *C",,,,,"""A Broken Leghorn""",
"""Easter Yeggs""","""Daffy Dilly""","""Porky Chops""","""Putty Tat Trouble""","""No Barking"" *C","""To Beep or Not to Beep""","""To Beep or Not to Beep""","""Ant Pasted""","""Knighty Knight Bugs""",,,,,"""Crockett-Doodle-Do""",
"""Slick Hare""","""The Stupor Salesman""","""Paying the Piper""","""Room and Bird""","""Muzzle Tough""","""War and Pieces""","""War and Pieces""","""Duck! Rabbit, Duck!""","""Hare-abian Nights""",,,,,"""The Dixie Fryer""",
"""Gorilla My Dreams""","""Riff Raffy Daffy""","""Daffy Duck Hunt""","""Tweety's S.O.S.""","""Satan's Waitin'""","""Operation: Rabbit""",,"""Robot Rabbit""","""Wild and Woolly Hare""",,,,,"""Strangled Eggs""",
"""A Feather in His Hare""","""Wise Quackers""","""Curtain Razor""","""Tweet Tweet Tweety""","""Sandy Claws""","""To Hare Is Human""",,"""Design for Leaving""","""Horse Hare""",,,,,"""The Slick Chick""",
"""Rabbit Punch""","""Holiday for Drumsticks""","""Often an Orphan""","""Who's Kitten Who?""","""Tweety's Circus""","""Rabbit's Feat""",,"""Quack Shot""","""From Hare to Heir""",,,,,"""Mother Was a Rooster""",
"""Buccaneer Bunny""","""Daffy Duck Hunt""","""Dough for the Do-Do""","""Gift Wrapped""","""Red Riding Hoodwinked""","""Compressed Hare""",,"""Pests for Guests""","""Lighter Than Hare""",,,,,"""Banty Raids""",
"""Bugs Bunny Rides Again""","""Boobs in the Woods""","""Bye, Bye Bluebeard""","""Little Red Rodent Hood""","""Heir-Conditioned"" *C","""Hare-Breadth Hurry""",,"""Beanstalk Bunny""","""Prince Violent""",,,,,"""False Hare"" *C",
"""Haredevil Hare""","""The Scarlet Pumpernickel""","""Boobs in the Woods""","""Ain't She Tweet""","""Tweet and Sour""",,,"""Hare Brush""","""Honey's Money""",,,,,,
"""Hot Cross Bunny""","""His Bitter Half""","""The Scarlet Pumpernickel""","""Hoppy Go Lucky""","""Tree Cornered Tweety""",,,"""Rabbit Rampage"" *C","""Shishkabugs""",,,,,,
"""Hare Splitter""","""Golden Yeggs""","""An Egg Scramble""","""A Bird in a Guilty Cage""","""Tugboat Granny""",,,"""This Is a Life?""","""Devil's Feud Cake""",,,,,,
"""A-Lad-In His Lamp""","""The Ducksters""","""Golden Yeggs""","""Tree for Two""","""Tweet Zoo""",,,"""Heir-Conditioned""","""Dumb Patrol""",,,,,,
"""My Bunny Lies over the Sea""","""Rabbit Fire""","""The Ducksters""","""Snow Business""","""Tweety and the Beanstalk""",,,"""Bugs' Bonnets""",,,,,,,
"""Hare Do""","""Drip-Along Daffy""","""Dog Collared""","""A Mouse Divided""","""Birds Anonymous""",,,"""A Star Is Bored""",,,,,,,
"""Mississippi Hare""","""The Prize Pest""","""The Wearing of the Grin""","""Fowl Weather""","""Greedy for Tweety""",,,"""Yankee Dood It""",,,,,,,
"""Rebel Rabbit""","""Thumb Fun""","""Drip-Along Daffy""","""Tom Tom Tomcat""","""A Pizza Tweety-Pie""",,,"""Wideo Wabbit""",,,,,,,
"""High Diving Hare""","""Cracked Quack""","""The Prize Pest""","""A Street Cat Named Sylvester""","""A Bird in a Bonnet""",,,"""What's Opera, Doc?""",,,,,,,
"""Bowery Bugs""","""Rabbit Seasoning""","""Thumb Fun""","""Catty Cornered""","""Trick or Tweet""",,,"""Rabbit Romeo""",,,,,,,
"""Long-Haired Hare""","""The Super Snooper""","""Cracked Quack""","""Cats A-weigh!""","""Tweet and Lovely""",,,"""Don't Axe Me""",,,,,,,
"""Knights Must Fall""","""Fool Coverage""","""Fool Coverage""","""Dog Pounded""","""Tweet Dreams""",,,"""Pre-Hysterical Hare""",,,,,,,
"""The Grey Hounded Hare""","""Duck Amuck""","""Duck Dodgers in the 24½th Century""","""Bell Hoppy""","""Hyde and Go Tweet""",,,"""A Mutt in a Rut""",,,,,,,
"""The Windblown Hare""","""Muscle Tussle""","""Claws for Alarm""","""Dr. Jerkyl's Hide""","""Trip for Tat""",,,"""Person to Bunny""",,,,,,,
"""Frigid Hare""","""Duck Dodgers in the 24½th Century""","""My Little Duckaroo""","""Claws for Alarm""","""The Rebel Without Claws""",,,"""Dog Gone People""",,,,,,,
"""Which Is Witch""","""Duck! Rabbit, Duck!""","""Jumpin' Jupiter""","""Muzzle Tough""","""The Last Hungry Cat""",,,"""What's My Lion?""",,,,,,,
"""Rabbit Hood""","""Design for Leaving""","""Dime to Retire""","""Satan's Waitin'""","""The Jet Cage""",,,"""Crows' Feat""",,,,,,,
"""Hurdy-Gurdy Hare""","""Quack Shot""","""Rocket Squad""","""By Word of Mouse""","""Hawaiian Aye Aye""",,,,,,,,,,
"""Mutiny on the Bunny""","""My Little Duckaroo""","""Deduce, You Say""","""Lighthouse Mouse""",,,,,,,,,,,
"""Homeless Hare""","""Beanstalk Bunny""","""Boston Quackie""","""Sandy Claws""",,,,,,,,,,,
"""Big House Bunny""","""Stork Naked""","""Robin Hood Daffy""","""Tweety's Circus""",,,,,,,,,,,
"""What's Up Doc?""","""Sahara Hare""","""China Jones""","""Jumpin' Jupiter""",,,,,,,,,,,
"""8 Ball Bunny""","""This Is a Life?""","""Daffy's Inn Trouble""","""A Kiddies Kitty""",,,,,,,,,,,
"""Hillbilly Hare""","""Dime to Retire""","""Dumb Patrol"" *C","""Speedy Gonzales""",,,,,,,,,,,
"""Bunker Hill Bunny""","""The High and the Flighty""",,"""Red Riding Hoodwinked""",,,,,,,,,,,
"""Bushy Hare""","""Rocket Squad""",,"""Heir-Conditioned""",,,,,,,,,,,
"""Rabbit of Seville""","""Stupor Duck""",,"""Pappy's Puppy""",,,,,,,,,,,
"""Hare We Go""","""A Star Is Bored""",,"""Too Hop to Handle""",,,,,,,,,,,
"""Rabbit Every Monday""","""Deduce, You Say""",,"""Tweet and Sour""",,,,,,,,,,,
"""Bunny Hugged""","""Ali Baba Bunny""",,"""Tree Cornered Tweety""",,,,,,,,,,,
"""The Fair Haired Hare""","""Boston Quackie""",,"""The Unexpected Pest""",,,,,,,,,,,
"""Rabbit Fire""","""Ducking the Devil""",,"""Tugboat Granny""",,,,,,,,,,,
"""French Rarebit""","""Show Biz Bugs""",,"""The Slap-Hoppy Mouse""",,,,,,,,,,,
"""His Hare Raising Tale""","""Don't Axe Me""",,"""Yankee Dood It""",,,,,,,,,,,
"""Ballot Box Bunny""","""Robin Hood Daffy""",,"""Tweet Zoo""",,,,,,,,,,,
"""Big Top Bunny""","""China Jones""",,"""Tweety and the Beanstalk""",,,,,,,,,,,
"""Operation: Rabbit""","""Apes of Wrath""",,"""Birds Anonymous""",,,,,,,,,,,
"""Foxy by Proxy""","""People Are Bunny""",,"""Greedy for Tweety""",,,,,,,,,,,
"""14 Carrot Rabbit""","""Person to Bunny""",,"""Mouse-Taken Identity""",,,,,,,,,,,
"""Water, Water Every Hare""","""The Abominable Snow Rabbit""",,"""Gonzales' Tamales""",,,,,,,,,,,
"""The Hasty Hare""","""Daffy's Inn Trouble""",,"""A Pizza Tweety-Pie""",,,,,,,,,,,
"""Oily Hare""","""Quackodile Tears""",,"""A Bird in a Bonnet""",,,,,,,,,,,
"""Rabbit Seasoning""","""Good Noose""",,"""Trick or Tweet""",,,,,,,,,,,
"""Rabbit's Kin""","""Fast Buck Duck""",,"""Tweet and Lovely""",,,,,,,,,,,
"""Hare Lift""","""The Million Hare""",,"""Cat's Paw""",,,,,,,,,,,
"""Forward March Hare""","""Aqua Duck""",,"""Here Today, Gone Tamale""",,,,,,,,,,,
"""Upswept Hare""","""The Iceman Ducketh""",,"""Tweet Dreams""",,,,,,,,,,,
"""Southern Fried Rabbit""",,,"""West of the Pesos""",,,,,,,,,,,
"""Hare Trimmed""",,,"""Goldimouse and the Three Cats""",,,,,,,,,,,
"""Bully for Bugs""",,,"""Hyde and Go Tweet""",,,,,,,,,,,
"""Lumber Jack-Rabbit""",,,"""Mouse and Garden""",,,,,,,,,,,
"""Duck! Rabbit, Duck!""",,,"""Trip for Tat""",,,,,,,,,,,
"""Robot Rabbit""",,,"""Cannery Woe""",,,,,,,,,,,
"""Captain Hareblower""",,,"""Hoppy Daze""",,,,,,,,,,,
"""Bugs and Thugs""",,,"""Birds of a Father""",,,,,,,,,,,
"""No Parking Hare""",,,"""D' Fightin' Ones""",,,,,,,,,,,
"""Devil May Hare""",,,"""The Rebel Without Claws""",,,,,,,,,,,
"""Bewitched Bunny""",,,"""The Pied Piper of Guadalupe""",,,,,,,,,,,
